Left,ShoulderPos:(0.09, 0.20, -0.34),Plane:XZ,Radius:0.25
0.13571,1,normal,0.00016,0.00070,0.00162,
0.14401,1,normal,0.00013,0.00069,0.00156,
0.15323,1,normal,0.00012,0.00070,0.00155,
0.16119,1,normal,0.00006,0.00064,0.00155,
0.16956,1,normal,0.00006,0.00064,0.00155,
0.17786,1,normal,0.00008,0.00067,0.00155,
0.18558,1,normal,0.00015,0.00069,0.00153,
0.20941,1,normal,0.00015,0.00069,0.00152,
0.21741,1,normal,0.00021,0.00068,0.00148,
0.22580,1,normal,0.00020,0.00069,0.00147,
0.23334,1,normal,0.00020,0.00069,0.00147,
0.24185,1,normal,0.00032,0.00074,0.00147,
0.24994,1,normal,0.00033,0.00074,0.00147,
0.25888,1,normal,0.00044,0.00076,0.00148,
0.26740,1,normal,0.00045,0.00076,0.00148,
0.27695,1,normal,0.00059,0.00077,0.00144,
0.28586,1,normal,0.00059,0.00078,0.00143,
0.29575,1,normal,0.00059,0.00078,0.00143,
0.30392,1,normal,0.00096,0.00070,0.00148,
0.31146,1,normal,0.00096,0.00070,0.00148,
0.32037,1,normal,0.00110,0.00065,0.00150,
0.32901,1,normal,0.00115,0.00062,0.00149,
0.34619,1,normal,0.00121,0.00049,0.00152,
0.36960,1,normal,0.00122,0.00048,0.00152,
0.37817,1,normal,0.00122,0.00043,0.00153,
0.38693,1,normal,0.00122,0.00043,0.00153,
0.39578,1,normal,0.00122,0.00043,0.00153,
0.40335,1,normal,0.00125,0.00043,0.00152,
0.41183,1,normal,0.00125,0.00043,0.00152,
0.42136,1,normal,0.00127,0.00045,0.00151,
0.42969,1,normal,0.00127,0.00046,0.00151,
0.43900,1,normal,0.00127,0.00054,0.00149,
0.44699,1,normal,0.00127,0.00055,0.00149,
0.45581,1,normal,0.00119,0.00061,0.00144,
0.46512,1,normal,0.00119,0.00062,0.00144,
0.47440,1,normal,0.00119,0.00062,0.00144,
0.48236,1,normal,0.00108,0.00068,0.00140,
0.48993,1,normal,0.00108,0.00069,0.00140,
0.49939,1,normal,0.00082,0.00059,0.00141,
0.52252,1,normal,0.00078,0.00056,0.00141,
0.53281,1,normal,0.00078,0.00056,0.00141,
0.54303,1,normal,0.00067,0.00058,0.00132,
0.55768,1,normal,0.00066,0.00059,0.00130,
0.56787,1,normal,0.00066,0.00059,0.00130,
0.57904,1,normal,0.00063,0.00060,0.00125,
0.59030,1,normal,0.00063,0.00060,0.00124,
0.60208,1,normal,0.00063,0.00060,0.00124,
0.61411,1,normal,0.00064,0.00056,0.00124,
0.62515,1,normal,0.00064,0.00055,0.00124,
0.63498,1,normal,0.00064,0.00055,0.00124,
0.64258,1,normal,0.00065,0.00050,0.00125,
0.65152,1,normal,0.00072,0.00044,0.00122,
0.67441,1,normal,0.00073,0.00044,0.00122,
0.68369,1,normal,0.00075,0.00046,0.00121,
0.69162,1,normal,0.00076,0.00046,0.00121,
0.70010,1,normal,0.00081,0.00050,0.00121,
0.70975,1,normal,0.00081,0.00050,0.00121,
0.71872,1,normal,0.00095,0.00055,0.00123,
0.72787,1,normal,0.00096,0.00056,0.00123,
0.73627,1,normal,0.00106,0.00061,0.00128,
0.74539,1,normal,0.00105,0.00062,0.00129,
0.75397,1,normal,0.00105,0.00062,0.00129,
0.76117,1,normal,0.00113,0.00061,0.00138,
0.76865,1,normal,0.00112,0.00061,0.00138,
0.77628,1,normal,0.00112,0.00061,0.00138,
0.78381,1,normal,0.00113,0.00064,0.00145,
0.79239,1,normal,0.00112,0.00064,0.00145,
0.79993,1,normal,0.00123,0.00068,0.00146,
0.80841,1,normal,0.00143,0.00074,0.00149,
0.83185,1,normal,0.00145,0.00074,0.00149,
0.84061,1,normal,0.00151,0.00078,0.00151,
0.84845,1,normal,0.00152,0.00078,0.00151,
0.85651,1,normal,0.00152,0.00078,0.00151,
0.86407,1,normal,0.00163,0.00081,0.00158,
0.87198,1,normal,0.00163,0.00080,0.00159,
0.88092,1,normal,0.00167,0.00084,0.00158,
0.88916,1,normal,0.00167,0.00084,0.00158,
0.89728,1,normal,0.00175,0.00084,0.00160,
0.90576,1,normal,0.00175,0.00084,0.00160,
0.91971,1,normal,0.00179,0.00096,0.00158,
0.92850,1,normal,0.00179,0.00097,0.00158,
0.93640,1,normal,0.00179,0.00097,0.00157,
0.94391,1,normal,0.00174,0.00107,0.00157,
0.95248,1,normal,0.00174,0.00107,0.00157,
0.96106,1,normal,0.00171,0.00113,0.00147,
0.98315,1,normal,0.00178,0.00113,0.00135,
0.99139,1,normal,0.00180,0.00114,0.00134,
1.00009,1,normal,0.00180,0.00110,0.00130,
1.00748,1,normal,0.00180,0.00110,0.00130,
1.01550,1,normal,0.00180,0.00110,0.00130,
1.02374,1,normal,0.00190,0.00094,0.00128,
1.03186,1,normal,0.00190,0.00094,0.00128,
1.03967,1,normal,0.00208,0.00083,0.00120,
1.04739,1,normal,0.00210,0.00083,0.00119,
1.05533,1,normal,0.00211,0.00083,0.00119,
1.06363,1,normal,0.00242,0.00080,0.00109,
1.07101,1,normal,0.00247,0.00081,0.00109,
1.07971,1,normal,0.00260,0.00095,0.00107,
1.08792,1,normal,0.00261,0.00096,0.00107,
1.09650,1,normal,0.00261,0.00096,0.00107,
1.10403,1,normal,0.00282,0.00117,0.00094,
1.11231,1,normal,0.00301,0.00156,0.00086,
1.13486,1,normal,0.00303,0.00159,0.00085,
1.14255,1,normal,0.00318,0.00180,0.00071,
1.15012,1,normal,0.00323,0.00182,0.00071,
1.15772,1,normal,0.00333,0.00208,0.00045,
1.16580,1,normal,0.00337,0.00211,0.00043,
1.17529,1,normal,0.00337,0.00211,0.00043,
1.18280,1,normal,0.00349,0.00251,0.00005,
1.19067,1,normal,0.00354,0.00256,0.00003,
1.19891,1,normal,0.00359,0.00267,-0.00043,
