Right,ShoulderPos:(-0.01, 0.63, 0.02),Plane:XZ,Radius:0.35
1.38201,1,normal,0.00000,0.00000,-0.12744,
1.38523,1,normal,0.00000,0.00000,-0.12744,
1.38890,1,normal,0.00000,0.00000,-0.12744,
1.39221,1,normal,0.00000,0.00000,-0.12744,
1.39544,1,normal,0.00000,0.00000,-0.12744,
1.39881,1,normal,0.00000,0.00000,-0.13115,
1.40251,1,normal,0.00000,0.00000,-0.13478,
1.40614,1,normal,0.00000,0.00000,-0.13895,
1.41032,1,normal,0.00000,0.00000,-0.14269,
1.41405,1,normal,0.00000,0.00000,-0.14626,
1.41762,1,normal,0.00000,0.00000,-0.14995,
1.42131,1,normal,0.00000,0.00000,-0.15376,
1.42512,1,normal,0.00000,0.00000,-0.15821,
1.42958,1,normal,0.00000,0.00000,-0.16194,
1.43331,1,normal,0.00000,0.00000,-0.16548,
1.43685,1,normal,0.00000,0.00000,-0.16921,
1.44058,1,normal,0.00000,0.00000,-0.17320,
1.44456,1,normal,0.00000,0.00000,-0.17724,
1.44861,1,normal,0.00000,0.00000,-0.18097,
1.45233,1,normal,0.00000,0.00000,-0.18097,
1.45613,1,normal,0.00000,0.00000,-0.18097,
1.45953,1,normal,0.00000,0.00000,-0.18097,
1.46287,1,normal,0.00000,0.00000,-0.18097,
1.46601,1,normal,0.00000,0.00000,-0.18097,
1.47003,1,normal,0.00000,0.00000,-0.18097,
1.47335,1,normal,0.00000,0.00000,-0.18097,
1.47649,1,normal,0.00000,0.00000,-0.18097,
1.48702,1,normal,0.00000,0.00000,-0.18097,
1.49124,1,normal,0.00000,0.00000,-0.18097,
1.49445,1,normal,0.00000,0.00000,-0.18097,
1.49751,1,normal,0.00000,0.00000,-0.18097,
1.50073,1,normal,0.00000,0.00000,-0.18097,
1.50424,1,normal,0.00000,0.00000,-0.18097,
1.50799,1,normal,0.00000,0.00000,-0.18097,
1.51121,1,normal,0.00000,0.00000,-0.18097,
