Left,ShoulderPos:(0.01, 0.63, 0.02),Plane:XZ,Radius:0.35
0.60705,1,normal,0.00000,0.00000,0.00000,
0.60904,1,normal,0.00000,0.00000,0.00000,
0.61127,1,normal,0.00000,0.00000,0.00000,
0.61317,1,normal,0.00000,0.00000,0.00000,
0.61505,1,normal,0.00000,0.00000,0.00000,
0.61685,1,normal,0.00000,0.00000,0.00000,
0.61865,1,normal,0.00000,0.00000,0.00000,
0.62046,1,normal,0.00000,0.00000,0.00000,
0.62225,1,normal,0.00000,0.00000,0.00000,
0.62758,1,normal,0.00000,0.00000,0.00000,
0.62945,1,normal,0.00000,0.00000,0.00000,
0.63164,1,normal,0.00000,0.00000,0.00000,
0.63345,1,normal,0.00000,0.00000,0.00000,
0.63526,1,normal,0.00000,0.00000,0.00000,
0.63706,1,normal,0.00000,0.00000,0.00000,
0.63892,1,normal,0.00000,0.00000,0.00000,
0.64065,1,normal,0.00000,0.00000,0.00000,
0.64245,1,normal,0.00000,0.00000,0.00000,
0.64415,1,normal,0.00000,0.00000,0.00000,
0.64595,1,normal,0.00000,0.00000,0.00000,
0.64769,1,normal,0.00000,0.00000,0.00000,
0.64960,1,normal,0.00000,0.00000,0.00000,
0.65165,1,normal,0.00000,0.00000,0.00000,
0.65335,1,normal,0.00000,0.00000,0.00000,
0.65505,1,normal,0.00000,0.00000,0.00000,
0.65716,1,normal,0.00000,0.00000,0.00000,
0.65902,1,normal,0.00000,0.00000,0.00000,
0.66097,1,normal,0.00000,0.00000,0.00000,
0.66285,1,normal,0.00000,0.00000,0.00000,
0.66476,1,normal,0.00000,0.00000,0.00000,
0.66666,1,normal,0.00000,0.00000,0.00000,
0.66844,1,normal,0.00000,0.00000,0.00000,
0.67044,1,normal,0.00000,0.00000,0.00000,
0.67225,1,normal,0.00000,0.00000,0.00000,
0.67406,1,normal,0.00000,0.00000,0.00000,
0.67585,1,normal,0.00000,0.00000,0.00000,
0.67756,1,normal,0.00000,0.00000,0.00000,
0.67935,1,normal,0.00000,0.00000,0.00000,
0.68124,1,normal,0.00000,0.00000,0.00000,
0.68359,1,normal,0.00000,0.00000,0.00000,
0.68545,1,normal,0.00000,0.00000,0.00000,
0.68714,1,normal,0.00000,0.00000,0.00000,
0.68889,1,normal,0.00000,0.00000,0.00000,
0.69115,1,normal,0.00000,0.00000,0.00000,
0.69295,1,normal,0.00000,0.00000,0.00000,
0.69486,1,normal,0.00000,0.00000,0.00000,
0.69665,1,normal,0.00000,0.00000,0.00000,
0.69844,1,normal,0.00000,0.00000,0.00000,
0.70025,1,normal,0.00000,0.00000,0.00000,
0.70206,1,normal,0.00000,0.00000,0.00000,
0.70395,1,normal,0.00000,0.00000,0.00000,
0.70566,1,normal,0.00000,0.00000,0.00000,
0.70734,1,normal,0.00000,0.00000,0.00000,
0.70904,1,normal,0.00000,0.00000,0.00000,
0.71205,1,normal,0.00000,0.00000,0.00000,
0.71390,1,normal,0.00000,0.00000,0.00000,
0.71566,1,normal,0.00000,0.00000,0.00000,
0.71734,1,normal,0.00000,0.00000,0.00000,
0.71915,1,normal,0.00000,0.00000,0.00000,
0.72094,1,normal,0.00000,0.00000,0.00000,
0.72269,1,normal,0.00000,0.00000,0.00000,
0.72445,1,normal,0.00000,0.00000,0.00000,
0.72616,1,normal,0.00000,0.00000,0.00000,
0.72795,1,normal,0.00000,0.00000,0.00000,
0.72965,1,normal,0.00000,0.00000,0.00000,
0.73175,1,normal,0.00000,0.00000,0.00000,
0.73345,1,normal,0.00000,0.00000,0.00000,
0.73839,1,normal,0.00000,0.00000,0.00000,
0.74035,1,normal,0.00000,0.00000,0.00000,
0.74215,1,normal,0.00000,0.00000,0.00000,
0.74395,1,normal,0.00000,0.00000,0.00000,
0.74575,1,normal,0.00000,0.00000,0.00000,
0.74747,1,normal,0.00000,0.00000,0.00000,
0.74926,1,normal,0.00000,0.00000,0.00000,
0.75145,1,normal,0.00000,0.00000,0.00000,
0.75326,1,normal,0.00000,0.00000,0.00000,
0.75505,1,normal,0.00000,0.00000,0.00000,
0.75694,1,normal,0.00000,0.00000,0.00000,
0.75875,1,normal,0.00000,0.00000,0.00000,
0.76057,1,normal,0.00000,0.00000,0.00000,
0.76235,1,normal,0.00000,0.00000,0.00000,
0.76404,1,normal,0.00000,0.00000,0.00000,
0.76585,1,normal,0.00000,0.00000,0.00000,
0.76753,1,normal,0.00000,0.00000,0.00000,
0.76925,1,normal,0.00000,0.00000,0.00000,
0.77116,1,normal,0.00000,0.00000,0.00000,
0.77285,1,normal,0.00000,0.00000,0.00000,
0.77456,1,normal,0.00000,0.00000,0.00000,
0.77616,1,normal,0.00000,0.00000,0.00000,
0.77796,1,normal,0.00000,0.00000,0.00000,
0.77965,1,normal,0.00000,0.00000,0.00000,
0.78129,1,normal,0.00000,0.00000,0.00000,
0.78296,1,normal,0.00000,0.00000,0.00000,
0.78466,1,normal,0.00000,0.00000,0.00000,
0.78635,1,normal,0.00000,0.00000,0.00000,
0.78805,1,normal,0.00000,0.00000,0.00000,
0.78998,1,normal,0.00000,0.00000,0.00000,
0.79167,1,normal,0.00000,0.00000,0.00000,
0.79336,1,normal,0.00000,0.00000,0.00000,
0.79506,1,normal,0.00000,0.00000,0.00000,
0.79664,1,normal,0.00000,0.00000,0.00000,
0.79836,1,normal,0.00000,0.00000,0.00000,
0.80008,1,normal,0.00000,0.00000,0.00000,
0.80178,1,normal,0.00000,0.00000,0.00000,
0.80346,1,normal,0.00000,0.00000,0.00000,
0.80505,1,normal,0.00000,0.00000,0.00000,
0.80670,1,normal,0.00000,0.00000,0.00000,
0.80846,1,normal,0.00000,0.00000,0.00000,
0.81035,1,normal,0.00000,0.00000,0.00000,
0.81208,1,normal,0.00000,0.00000,0.00000,
0.81390,1,normal,0.00000,0.00000,0.00000,
0.81555,1,normal,0.00000,0.00000,0.00000,
0.81726,1,normal,0.00000,0.00000,0.00000,
0.81896,1,normal,0.00000,0.00000,0.00000,
0.82065,1,normal,0.00000,0.00000,0.00000,
0.82236,1,normal,0.00000,0.00000,0.00000,
0.82405,1,normal,0.00000,0.00000,0.00000,
0.82576,1,normal,0.00000,0.00000,0.00000,
0.82745,1,normal,0.00000,0.00000,0.00000,
0.82926,1,normal,0.00000,0.00000,0.00000,
0.83128,1,normal,0.00000,0.00000,0.00000,
0.83306,1,normal,0.00000,0.00000,0.00000,
0.83496,1,normal,0.00000,0.00000,0.00000,
0.83675,1,normal,0.00000,0.00000,0.00000,
0.83855,1,normal,0.00000,0.00000,0.00000,
0.84015,1,normal,0.00000,0.00000,0.00000,
0.84508,1,normal,0.00000,0.00000,0.00000,
0.84684,1,normal,0.00000,0.00000,0.00000,
0.84855,1,normal,0.00000,0.00000,0.00000,
0.85046,1,normal,0.00000,0.00000,0.00000,
0.85216,1,normal,0.00000,0.00000,0.00000,
0.85386,1,normal,0.00000,0.00000,0.00000,
0.85557,1,normal,0.00000,0.00000,0.00000,
0.85724,1,normal,0.00000,0.00000,0.00000,
0.85901,1,normal,0.00000,0.00000,0.00000,
0.86066,1,normal,0.00000,0.00000,0.00000,
0.86235,1,normal,0.00000,0.00000,0.00000,
0.86396,1,normal,0.00000,0.00000,0.00000,
0.86554,1,normal,0.00000,0.00000,0.00000,
0.86726,1,normal,0.00000,0.00000,0.00000,
0.86894,1,normal,0.00000,0.00000,0.00000,
0.87105,1,normal,0.00000,0.00000,0.00000,
0.87274,1,normal,0.00000,0.00000,0.00000,
0.87446,1,normal,0.00000,0.00000,0.00000,
0.87635,1,normal,0.00000,0.00000,0.00000,
0.87807,1,normal,0.00000,0.00000,0.00000,
