Right,ShoulderPos:(-0.01, 0.63, 0.02),Plane:YZ,Radius:0.35
11.74229,3,normal,0.00000,0.00000,0.00000,
11.74420,3,normal,0.00000,0.00000,0.00000,
11.74601,3,normal,0.00000,0.00000,0.00000,
11.74819,3,normal,0.00000,0.00000,0.00000,
11.75002,3,normal,0.00000,0.00000,0.00000,
11.75193,3,normal,0.00000,0.00000,0.00000,
11.75391,3,normal,0.00000,0.00000,0.00000,
11.75579,3,normal,0.00000,0.00000,0.00000,
11.75759,3,normal,0.00000,0.00000,0.00000,
11.75940,3,normal,0.00000,0.00000,0.00000,
11.76151,3,normal,0.00000,0.00000,0.00000,
11.76405,3,normal,0.00000,0.00000,0.00000,
11.76980,3,normal,0.00000,0.00000,0.00000,
11.77207,3,normal,0.00000,0.00000,0.00000,
11.77386,3,normal,0.00000,0.00000,0.00000,
11.77566,3,normal,0.00000,0.00000,0.00000,
11.77745,3,normal,0.00000,0.00000,0.00000,
11.77925,3,normal,0.00000,0.00000,0.00000,
11.78116,3,normal,0.00000,0.00000,0.00000,
11.78297,3,normal,0.00000,0.00000,0.00000,
11.78474,3,normal,0.00000,0.00000,0.00000,
11.78645,3,normal,0.00000,0.00000,0.00000,
11.78836,3,normal,0.00000,0.00000,0.00000,
11.79005,3,normal,0.00000,0.00000,0.00000,
11.79177,3,normal,0.00000,0.00000,0.00000,
11.79350,3,normal,0.00000,0.00000,0.00000,
11.79525,3,normal,0.00000,0.00000,0.00000,
11.79695,3,normal,0.00000,0.00000,0.00000,
11.79855,3,normal,0.00000,0.00000,0.00000,
11.80035,3,normal,0.00000,0.00000,0.00000,
11.80215,3,normal,0.00000,0.00000,0.00000,
11.80387,3,normal,0.00000,0.00000,0.00000,
11.80556,3,normal,0.00000,0.00000,0.00000,
11.80999,3,normal,0.00000,0.00000,0.00000,
11.81175,3,normal,0.00000,0.00000,0.00000,
11.81365,3,normal,0.00000,0.00000,0.00000,
11.81558,3,normal,0.00000,0.00000,0.00000,
11.81757,3,normal,0.00000,0.00000,0.00000,
11.81965,3,normal,0.00000,0.00000,0.00000,
11.82167,3,normal,0.00000,0.00000,0.00000,
11.82355,3,normal,0.00000,0.00000,0.00000,
11.82546,3,normal,0.00000,0.00000,0.00000,
11.82812,3,normal,0.00000,0.00000,0.00000,
11.83005,3,normal,0.00000,0.00000,0.00000,
11.83196,3,normal,0.00000,0.00000,0.00000,
11.83376,3,normal,0.00000,0.00000,0.00000,
11.83547,3,normal,0.00000,0.00000,0.00000,
11.83725,3,normal,0.00000,0.00000,0.00000,
11.83918,3,normal,0.00000,0.00000,0.00000,
11.84106,3,normal,0.00000,0.00000,0.00000,
11.84294,3,normal,0.00000,0.00000,0.00000,
11.84474,3,normal,0.00000,0.00000,0.00000,
11.84646,3,normal,0.00000,0.00000,0.00000,
