Left,ShoulderPos:(0.01, 0.63, 0.02),Plane:YZ,Radius:0.35
5.87801,3,normal,0.00000,0.00000,-0.07319,
5.87990,3,normal,0.00000,0.00000,-0.07319,
5.88513,3,normal,0.00000,0.00000,-0.07319,
5.88702,3,normal,0.00000,0.00000,-0.07319,
5.88942,3,normal,0.00000,0.00000,-0.07319,
5.89145,3,normal,0.00000,0.00000,-0.07319,
5.89320,3,normal,0.00000,0.00000,-0.07319,
5.89513,3,normal,0.00000,0.00000,-0.07319,
5.89703,3,normal,0.00000,0.00000,-0.07319,
5.89891,3,normal,0.00000,0.00000,-0.07319,
5.90080,3,normal,0.00000,0.00000,-0.07319,
5.90260,3,normal,0.00000,0.00000,-0.07319,
5.90456,3,normal,0.00000,0.00000,-0.07319,
5.90642,3,normal,0.00000,0.00000,-0.07319,
5.90820,3,normal,0.00000,0.00000,-0.07319,
5.91032,3,normal,0.00000,0.00000,-0.07319,
5.91219,3,normal,0.00000,0.00000,-0.07319,
5.91414,3,normal,0.00000,0.00000,-0.07319,
