Right,ShoulderPos:(-0.01, 0.63, 0.02),Plane:XY,Radius:0.35
3.19168,3,normal,0.00000,0.00000,0.00000,
3.19339,3,normal,0.00000,0.00000,0.00000,
3.19502,3,normal,0.00000,0.00000,0.00000,
3.19669,3,normal,0.00000,0.00000,0.00000,
3.19898,3,normal,0.00000,0.00000,0.00000,
3.20068,3,normal,0.00000,0.00000,0.00000,
3.20228,3,normal,0.00000,0.00000,0.00000,
3.20399,3,normal,0.00000,0.00000,0.00000,
3.20570,3,normal,0.00000,0.00000,0.00000,
3.20747,3,normal,0.00000,0.00000,0.00000,
3.20918,3,normal,0.00000,0.00000,0.00000,
3.21084,3,normal,0.00000,0.00000,0.00000,
3.21249,3,normal,0.00000,0.00000,0.00000,
3.21419,3,normal,0.00000,0.00000,0.00000,
3.21590,3,normal,0.00000,0.00000,0.00000,
3.21779,3,normal,0.00000,0.00000,0.00000,
3.21945,3,normal,0.00000,0.00000,0.00000,
3.22107,3,normal,0.00000,0.00000,0.00000,
3.22279,3,normal,0.00000,0.00000,0.00000,
3.22450,3,normal,0.00000,0.00000,0.00000,
3.22621,3,normal,0.00000,0.00000,0.00000,
3.22791,3,normal,0.00000,0.00000,0.00000,
3.22959,3,normal,0.00000,0.00000,0.00000,
3.23129,3,normal,0.00000,0.00000,0.00000,
3.23298,3,normal,0.00000,0.00000,0.00000,
3.23468,3,normal,0.00000,0.00000,0.00000,
3.23637,3,normal,0.00000,0.00000,0.00000,
3.23878,3,normal,0.00000,0.00000,0.00000,
3.24049,3,normal,0.00000,0.00000,0.00000,
3.24218,3,normal,0.00000,0.00000,0.00000,
3.24388,3,normal,0.00000,0.00000,0.00000,
3.24552,3,normal,0.00000,0.00000,0.00000,
3.25092,3,normal,0.00000,0.00000,0.00000,
3.25269,3,normal,0.00000,0.00000,0.00000,
3.25438,3,normal,0.00000,0.00000,0.00000,
3.25609,3,normal,0.00000,0.00000,0.00000,
3.25800,3,normal,0.00000,0.00000,0.00000,
3.25969,3,normal,0.00000,0.00000,0.00000,
3.26133,3,normal,0.00000,0.00000,0.00000,
3.26300,3,normal,0.00000,0.00000,0.00000,
3.26481,3,normal,0.00000,0.00000,0.00000,
3.26648,3,normal,0.00000,0.00000,0.00000,
3.26818,3,normal,0.00000,0.00000,0.00000,
3.26981,3,normal,0.00000,0.00000,0.00000,
3.27149,3,normal,0.00000,0.00000,0.00000,
3.27320,3,normal,0.00000,0.00000,0.00000,
3.27478,3,normal,0.00000,0.00000,0.00000,
3.27638,3,normal,0.00000,0.00000,0.00000,
3.27821,3,normal,0.00000,0.00000,0.00000,
3.27988,3,normal,0.00000,0.00000,0.00000,
3.28161,3,normal,0.00000,0.00000,0.00000,
3.28328,3,normal,0.00000,0.00000,0.00000,
3.28499,3,normal,0.00000,0.00000,0.00000,
3.28658,3,normal,0.00000,0.00000,0.00000,
3.28840,3,normal,0.00000,0.00000,0.00000,
3.29008,3,normal,0.00000,0.00000,0.00000,
3.29180,3,normal,0.00000,0.00000,0.00000,
3.29349,3,normal,0.00000,0.00000,0.00000,
3.29511,3,normal,0.00000,0.00000,0.00000,
3.29718,3,normal,0.00000,0.00000,0.00000,
3.29889,3,normal,0.00000,0.00000,0.00000,
3.30048,3,normal,0.00000,0.00000,0.00000,
3.30221,3,normal,0.00000,0.00000,0.00000,
3.30389,3,normal,0.00000,0.00000,0.00000,
3.30559,3,normal,0.00000,0.00000,0.00000,
3.30718,3,normal,0.00000,0.00000,0.00000,
3.30889,3,normal,0.00000,0.00000,0.00000,
3.31058,3,normal,0.00000,0.00000,0.00000,
3.31225,3,normal,0.00000,0.00000,0.00000,
3.31398,3,normal,0.00000,0.00000,0.00000,
3.31568,3,normal,0.00000,0.00000,0.00000,
3.31768,3,normal,0.00000,0.00000,0.00000,
3.31933,3,normal,0.00000,0.00000,0.00000,
3.32099,3,normal,0.00000,0.00000,0.00000,
3.32271,3,normal,0.00000,0.00000,0.00000,
3.32438,3,normal,0.00000,0.00000,0.00000,
3.32598,3,normal,0.00000,0.00000,0.00000,
3.32771,3,normal,0.00000,0.00000,0.00000,
3.32939,3,normal,0.00000,0.00000,0.00000,
3.33109,3,normal,0.00000,0.00000,0.00000,
3.33280,3,normal,0.00000,0.00000,0.00000,
3.33448,3,normal,0.00000,0.00000,0.00000,
3.33610,3,normal,0.00000,0.00000,0.00000,
3.33849,3,normal,0.00000,0.00000,0.00000,
3.34008,3,normal,0.00000,0.00000,0.00000,
3.34179,3,normal,0.00000,0.00000,0.00000,
3.34339,3,normal,0.00000,0.00000,0.00000,
3.34508,3,normal,0.00000,0.00000,0.00000,
3.34678,3,normal,0.00000,0.00000,0.00000,
3.34849,3,normal,0.00000,0.00000,0.00000,
3.35381,3,normal,0.00000,0.00000,0.00000,
3.35548,3,normal,0.00000,0.00000,0.00000,
3.35749,3,normal,0.00000,0.00000,0.00000,
3.35918,3,normal,0.00000,0.00000,0.00000,
3.36083,3,normal,0.00000,0.00000,0.00000,
3.36249,3,normal,0.00000,0.00000,0.00000,
3.36419,3,normal,0.00000,0.00000,0.00000,
3.36588,3,normal,0.00000,0.00000,0.00000,
3.36758,3,normal,0.00000,0.00000,0.00000,
3.36934,3,normal,0.00000,0.00000,0.00000,
3.37110,3,normal,0.00000,0.00000,0.00000,
3.37278,3,normal,0.00000,0.00000,0.00000,
